,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1108,1108,1.0,0.42250001430511475,"buy, price, fast, really, give, love, look, money, day, quality","['month', 'buy', 'hold', 'charge', 'device', 'become', 'hot', 'return', 'verizon', 'give', 'refurbish', 'replacement', 'month', 'replacement', 'device', 'problem', 'charge', 'hassle', 'associate', 'problem', 'worth', 'otherwise', 'device', 'constantly', 'replace', 'reload', 'application', 'buy', 'else', 'ton', 'similar', 'review', 'problem', 'note']"
1109,1109,3.0,0.7085999846458435,"work, product, well, problem, return, item, box, screen, bad, battery","['recently', 'start', 'freeze', 'restart', 'often']"
1110,1110,3.0,0.6243000030517578,"work, product, well, problem, return, item, box, screen, bad, battery","['bad', 'cell', 'last', 'month', 'mysteriously', 'find', 'difficult', 'find', 'lie', 'strung', 'charge', 'additional', 'repair', 'obvious', 'defect', 'look', 'cell', 'find', 'carrier', 'one', 'worth', 'effort']"
1111,1111,1.0,0.38260000944137573,"buy, price, fast, really, give, love, look, money, day, quality","['worst', 'smart', 'ever_owne', 'alot', 'well', 'peace']"
1112,1112,1.0,0.4814000129699707,"buy, price, fast, really, give, love, look, money, day, quality","['unlocked', 'metro_pc', 'simple', 'mobile', 'instead', 'answer', 'cause', 'process', 'purchasin']"
1113,1113,1.0,0.507099986076355,"buy, price, fast, really, give, love, look, money, day, quality","['mistake', 'buy', 'deal', 'order', 'save', 'couple', 'dollar', 'big', 'mistake', 'first', 'time', 'return', 'work', 'seller', 'company', 'call', 'home', 'accept', 'return', 'receive', 'month', 'terrible', 'reset', 'least', 'time', 'day', 'buy', 'new', 'bad', 'quality', 'ever', 'sad', 'frustrated', 'feel', 'guilty', 'dumb', 'stay_away']"
1114,1114,1.0,0.4226999878883362,"buy, price, fast, really, give, love, look, money, day, quality","['pro', 'enough', 'space', 'store', 'apps', 'desire', 'last', 'require', 'battery', 'pack', 'spare', 'battery', 'call', 'quality', 'signal', 'service', 'bar', 'mainly', 'visit', 'friend', 'family', 'tin', 'sheet', 'metal', 'house', 'screen', 'actaully', 'type', 'less', 'error', 'qwerty', 'keyboard', 'thing', 'con', 'app', 'work', 'purchase', 'less', 'fault', 'dev', 'release', 'broken', 'patch', 'find', 'battery', 'cover', 'feel', 'flimsy', 'first', 'inclined', 'case', 'asap', 'personal', 'thing', 'worry', 'defective', 'screen', 'chance', 'crack', 'smart', 'stay', 'scroll', 'stuff', 'annoying', 'realize', 'awkward', 'look', 'screen', 'eye', 'blink', 'play', 'setting', 'turn', 'icon', 'feel', 'fluid']"
1115,1115,3.0,0.4885999858379364,"work, product, well, problem, return, item, box, screen, bad, battery","['obtain', 'wireless', 'always', 'buy', 'ship', 'arrive', 'promptly', 'well', 'pack', 'fancy', 'box', 'air', 'fine', 'irritate', 'put', 'contact', 'favorite', 'list', 'display', 'form', 'grid', 'form', 'space', 'list', 'text', 'truncate', 'tiny', 'font', 'small', 'gripe']"
1116,1116,1.0,0.5976999998092651,"buy, price, fast, really, give, love, look, money, day, quality","['sick', 'company', 'charge', 'consumer', 'price', 'sick', 'finally', 'decide', 'old', 'cheap', 'price', 'pay', 'whole', 'thing', 'exactly', 'look']"
1117,1117,1.0,0.5396999716758728,"buy, price, fast, really, give, love, look, money, day, quality","['debate', 'look', 'online', 'slow', 'motion', 'fast', 'motion', 'video', 'disappointed', 'love', 'recently', 'drop', 'water', 'put', 'rice', 'night', 'let', 'dry', 'issue', 'still', 'work', 'amazing', 'battery', 'life', 'still', 'last', 'day', 'course', 'playing', 'game', 'point', 'drop', 'water', 'replace', 'work', 'decide']"
1118,1118,1.0,0.3917999863624573,"buy, price, fast, really, give, love, look, money, day, quality","['replace', 'year', 'screen', 'crack', 'new', 'week', 'problem', 'begin', 'restart', 'twice', 'read', 'read', 'put', 'card', 'old', 'crack', 'definitely', 'faulty', 'upset', 'window']"
1119,1119,3.0,0.5782999992370605,"work, product, well, problem, return, item, box, screen, bad, battery","['star', 'purchase', 'receive', 'exactly', 'pay', 'week', 'later', 'return', 'defective', 'glitche', 'today', 'replacement', 'instantly', 'disaster', 'look', 'bad', 'pay', 'dirty', 'back', 'cracked', 'horrible', 'anyways', 'button', 'side', 'work', 'exist', 'sure', 'sure', 'mad', 'unacceptable']"
1120,1120,1.0,0.4025999903678894,"buy, price, fast, really, give, love, look, money, day, quality","['feel', 'compel', 'receive', 'big', 'disappointment', 'ordering', 'new', 'example', 'obsolete', 'model', 'otherwise', 'buy', 'anymore', 'model', 'half', 'year', 'several', 'include', 'note', 'well', 'suffer', 'rendition', 'different', 'android', 'firmware', 'upgrade', 'begin', 'give', 'star', 'return', 'advertise', 'jelly', 'bean', 'software', 'lollipop', 'stand', 'lollipop', 'word', 'properly', 'describe', 'much', 'hate', 'lollipop', 'advertise', 'android', 'firmware', 'variant', 'inception', 'manufacturer', 'case', 'latter', 'obviously', 'lollipop', 'deal', 'entirely', 'new', 'company', 'side', 'planet', 'little', 'familiarity', 'kit', 'predecessor', 'lollipop', 'always', 'turn', 'canned', 'software', 'version', 'become', 'tricky', 'new', 'version', 'lollipop', 'turn', 'one', 'important', 'turn', 'extend', 'battery', 'life', 'especially', 'measure', 'security', 'privacy', 'load', 'cent', 'unnecessary', 'self', 'serve', 'brand', 'software', 'mandatory', 'play', 'service', 'turn', 'access', 'contact', 'big', 'mistake', 'lollipop', 'believe', 'already', 'replace', 'new', 'name', 'forget', 'change', 'drastically', 'alienated', 'professional', 'people', 'depend', 'setting', 'contact', 'list', 'edit', 'thing', 'change', 'ugly', 'ugly', 'monochrome', 'style', 'black', 'pale', 'blue', 'accent', 'text', 'photo', 'little', 'circle', 'bad', 'crap', 'software', 'add', 'turn', 'design', 'keep', 'track', 'buy', 'give', 'personal', 'information', 'order', 'fully', 'feature', 'free', 'tax', 'personal', 'history', 'profile', 'call', 'surf', 'internet', 'contact', 'information', 'absorb', 'corporate', 'monster', 'sole', 'purpose', 'control', 'today', 'future', 'lollipop', 'root', 'become', 'engineer', 'rich', 'company', 'become', 'consumer', 'patronage', 'give', 'time', 'learn', 'new', 'user', 'interface', 'surrender', 'privacy', 'habit', 'shove', 'software', 'throat', 'control', 'turn', 'customize', 'prefer', 'perk', 'expensive']"
1121,1121,1.0,0.45969998836517334,"buy, price, fast, really, give, love, look, money, day, quality","['wife', 'break', 'screen', 'first', 'charge', 'buy', 'one', 'love', 'week', 'expect', 'pain', 'info', 'old', 'new', 'one', 'old', 'work', 'usb', 'plug', 'transfer', 'wondershare', 'work']"
1122,1122,3.0,0.4950999915599823,"work, product, well, problem, return, item, box, screen, bad, battery","['feature', 'wise', 'hear', 'call', 'message', 'pop', 'recognize', 'restart', 'kind', 'frustrating', 'look', 'map']"
1123,1123,3.0,0.5896999835968018,"work, product, well, problem, return, item, box, screen, bad, battery","['exchange', 'htc', 'due', 'call', 'audio', 'problem', 'awesome', 'htc', 'really', 'factor', 'work', 'well', 'job', 'update', 'case', 'handle', 'simple', 'foot', 'drop', 'spend', 'new', 'screen', 'much', 'test', 'youtube', 'show', 'great', 'strength', 'weak']"
1124,1124,3.0,0.8687999844551086,"work, product, well, problem, return, item, box, screen, bad, battery","['refund', 'disappoint', 'send', 'father', 'valentine', 'day', 'work', 'keep', 'fry', 'sim', 'card', 'sad', 'hopefully', 'find', 'work']"
1125,1125,1.0,0.5241000056266785,"buy, price, fast, really, give, love, look, money, day, quality","['faulty', 'keep', 'restart', 'time', 'never', 'buy']"
1126,1126,3.0,0.7865999937057495,"work, product, well, problem, return, item, box, screen, bad, battery","['look', 'great', 'part', 'work', 'fine', 'wife', 'problem', 'text', 'send', 'unable', 'determine', 'problem']"
1127,1127,3.0,0.477400004863739,"work, product, well, problem, return, item, box, screen, bad, battery","['advertise', 'bottom', 'button', 'work', 'reboot', 'still', 'result', 'send', 'back', 'point']"
1128,1128,3.0,0.5627999901771545,"work, product, well, problem, return, item, box, screen, bad, battery","['year', 'problem', 'far']"
1129,1129,3.0,0.8125,"work, product, well, problem, return, item, box, screen, bad, battery","['replace', 'damage', 'issue']"
1130,1130,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1131,1131,3.0,0.7182999849319458,"work, product, well, problem, return, item, box, screen, bad, battery","['thing', 'bad', 'keep', 'click', 'several', 'time', 'order', 'pop', 'click', 'work', 'find']"
1132,1132,1.0,0.8065999746322632,"buy, price, fast, really, give, love, look, money, day, quality","['happy', 'delivery', 'time']"
1133,1133,0.0,0.6047000288963318,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",['excellente']
1134,1134,1.0,0.8123999834060669,"buy, price, fast, really, give, love, look, money, day, quality","['quality', 'stand', 'daily']"
1135,1135,2.0,0.6134999990463257,"describe, new, connect, screen, week, brand, last, basic, arrive, glass",['month']
1136,1136,2.0,0.625,"describe, new, connect, screen, week, brand, last, basic, arrive, glass",['describe']
1137,1137,3.0,0.6049000024795532,"work, product, well, problem, return, item, box, screen, bad, battery","['afford', 'smart', 'plan', 'pay', 'return', 'day']"
1138,1138,1.0,0.45730000734329224,"buy, price, fast, really, give, love, look, money, day, quality","['strong', 'compare', 'personal', 'experience']"
1139,1139,2.0,0.5626999735832214,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['husband', 'version', 'complaint']"
1140,1140,1.0,0.5422000288963318,"buy, price, fast, really, give, love, look, money, day, quality","['feel', 'cheap', 'poor', 'sound', 'quality']"
1141,1141,1.0,0.6229000091552734,"buy, price, fast, really, give, love, look, money, day, quality","['lasted', 'day', 'lasted', 'day', 'die']"
1142,1142,3.0,0.43950000405311584,"work, product, well, problem, return, item, box, screen, bad, battery","['charge', 'lose', 'battery', 'life', 'connect', 'charger', 'issue', 'apparently', 'relate', 'wonder', 'send', 'refurbished', 'trade', 'warranty', 'store']"
1143,1143,3.0,0.5397999882698059,"work, product, well, problem, return, item, box, screen, bad, battery","['begin', 'malfunction', 'available', 'return', 'policy']"
1144,1144,3.0,0.6049000024795532,"work, product, well, problem, return, item, box, screen, bad, battery","['regret', 'spend', 'necessary', 'replace', 'break']"
1145,1145,2.0,0.3828999996185303,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['bell', 'whistle', 'expect', 'sure', 'discover', 'yet', 'decide', 'visit', 'different', 'store', 'salesman']"
1146,1146,3.0,0.8921999931335449,"work, product, well, problem, return, item, box, screen, bad, battery","['function', 'well', 'far', 'battery', 'strong', 'shall']"
1147,1147,0.0,0.4169999957084656,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color","['exactly', 'description']"
1148,1148,3.0,0.7490000128746033,"work, product, well, problem, return, item, box, screen, bad, battery","['time', 'work']"
1149,1149,0.0,0.25,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",[]
1150,1150,3.0,0.45159998536109924,"work, product, well, problem, return, item, box, screen, bad, battery","['purchase', 'scam', 'buy', 'completely', 'die', 'month', 'never', 'work', 'properly', 'certain', 'app', 'map', 'lock', 'freeze', 'find', 'refurbish', 'properly', 'fix', 'cost', 'awful', 'seller', 'respond', 'contact', 'credit', 'card', 'company']"
1151,1151,0.0,0.625,"expect, para, exactly, todo, telefono, vendedor, por, expectation, gift, color",['satisfied']
1152,1152,3.0,0.5616999864578247,"work, product, well, problem, return, item, box, screen, bad, battery","['time', 'exactly', 'description']"
1153,1153,1.0,0.625,"buy, price, fast, really, give, love, look, money, day, quality",['deal']
1154,1154,3.0,0.5627999901771545,"work, product, well, problem, return, item, box, screen, bad, battery","['problem', 'able', 'fix']"
